,name,rating,review_count,desc_loc,highly_rated_for,critically_rated_for,salaries,interviews,jobs,benefits,photos
496,Ninjacart,3.8,2k,Internet | Bengaluru +114 other locations,Salary,"Job Security, Promotions",5k,104,20,138,23
497,R.R. Donnelley,3.6,2k,Marketing & Advertising | Chennai +26 other locations,Job Security,"Promotions, Salary, Work Satisfaction",10.3k,130,12,247,1
498,Schindler,3.9,2k,Industrial Machinery | Pune +90 other locations,"Skill Development, Company Culture, Salary",Promotions,6.3k,124,80,195,3
499,L&T Energy Hydrocarbon,3.8,2k,Engineering & Construction | Vadodara +88 other locations,"Job Security, Skill Development","Promotions, Work Life Balance, Company Culture",8.4k,118,--,204,9
500,Motherson Automotive Technologies and Engineering,3.7,2k,Auto Components | Chennai +66 other locations,Job Security,"Promotions, Salary",7.7k,162,--,154,1
501,State Street Syntel,3.7,2k,Financial Services | Pune +21 other locations,Job Security,"Promotions, Salary",6.6k,80,--,281,--
502,Paisabazaar.com,3.4,2k,Internet | Gurugram +35 other locations,None,"Job Security, Promotions, Company Culture",7k,172,61,104,25
503,NCR Voyix,3.4,2k,IT Services & Consulting | Hyderabad +89 other locations,None,"Promotions, Job Security, Skill Development",9.5k,143,26,174,--
504,Globiva,3.0,2k,BPO | Gurugram +30 other locations,None,"Promotions, Work Satisfaction, Job Security",5.4k,140,236,86,11
505,V-Guard,4.3,2k,Consumer Electronics & Appliances | Kochi +170 other locations,"Company Culture, Work Life Balance, Job Security",Promotions,4.6k,122,34,277,19
506,Uflex,3.8,1.9k,Packaging | Noida +48 other locations,"Job Security, Work Life Balance",Promotions,6.9k,132,61,122,9
507,CMS Infosystems,3.5,2k,Software Product | Mumbai +223 other locations,None,"Promotions, Salary, Company Culture",4.9k,82,10,106,6
508,Dr Lal PathLabs,4.2,1.9k,Healthcare | New Delhi +201 other locations,"Job Security, Company Culture, Work Life Balance",None,4.5k,190,125,195,3
509,Microland,3.5,1.9k,IT Services & Consulting | Bengaluru +46 other locations,None,"Promotions, Work Satisfaction, Salary",10.8k,146,137,159,5
510,Provana,4.0,1.9k,BPO | Noida +11 other locations,"Company Culture, Work Life Balance, Work Satisfaction",None,4.4k,243,35,279,4
511,Spinny,3.6,1.9k,Internet | Gurugram +62 other locations,None,"Promotions, Work Life Balance, Work Satisfaction",7.8k,214,54,106,--
512,Adecco Group,3.8,1.9k,Recruitment | Bengaluru +185 other locations,Work Life Balance,Promotions,7.4k,121,--,142,1
513,Crisil,3.6,1.9k,Analytics & KPO | Mumbai +81 other locations,None,"Promotions, Salary, Work Satisfaction",13.7k,216,703,225,--
514,CNH (Case New Holland),3.7,1.9k,Industrial Machinery | Gurugram +140 other locations,Work Life Balance,Promotions,6.1k,140,28,165,32
515,Philips,3.8,1.9k,Medical Equipment | Bengaluru +97 other locations,Work Life Balance,"Promotions, Job Security, Work Satisfaction",11.2k,178,101,182,9
516,Aye Finance,4.1,1.9k,NBFC | Gurugram +377 other locations,"Salary, Work Life Balance, Company Culture",None,3.6k,101,99,122,16
517,Gabriel India Limited,4.1,1.9k,Auto Components | Pune +52 other locations,"Job Security, Skill Development, Company Culture",Promotions,5.8k,132,3,253,3
518,Aadhar Housing Finance,4.0,1.9k,NBFC | Mumbai +330 other locations,"Skill Development, Company Culture, Work Satisfaction",None,5k,121,12,103,12
519,Parle Products,3.9,1.9k,FMCG | Mumbai +247 other locations,Salary,Promotions,3.6k,126,40,203,3
520,Angel One,3.5,1.9k,FinTech | Mumbai +133 other locations,None,"Promotions, Job Security, Work Satisfaction",7.8k,171,53,156,4
521,HTC Global Services,3.4,1.9k,IT Services & Consulting | Chennai +32 other locations,None,"Promotions, Skill Development, Company Culture",13.4k,168,5,109,--
522,TELUS Digital,3.5,1.9k,IT Services & Consulting | Noida +27 other locations,None,"Promotions, Job Security, Skill Development",10.6k,145,26,39,--
523,DHL Supply Chain,4.2,1.9k,Logistics | Mumbai +100 other locations,"Job Security, Work Life Balance, Company Culture",Promotions,6.3k,127,70,139,25
524,Tata Power,3.9,1.9k,Power | Mumbai +155 other locations,"Job Security, Work Life Balance, Company Culture","Promotions, Salary",7.6k,221,11,136,11
525,G R Infraprojects,4.1,1.9k,Engineering & Construction | Gurugram +160 other locations,"Salary, Work Life Balance, Work Satisfaction",None,5.4k,167,37,161,4
526,Google,4.4,1.9k,Software Product | Bengaluru +86 other locations,"Company Culture, Work Life Balance, Work Satisfaction",None,35.5k,1k,431,137,19
527,Thomson Reuters,3.7,1.9k,Software Product | Bengaluru +27 other locations,"Work Life Balance, Company Culture",Promotions,11k,141,96,228,--
528,NTPC,4.2,1.9k,Power | New Delhi +124 other locations,"Company Culture, Work Life Balance, Skill Development",None,4.4k,191,--,184,15
529,Lucas-TVS,3.9,1.9k,Auto Components | Chennai +78 other locations,Job Security,"Promotions, Salary",6.1k,94,16,212,5
530,Trident Group,3.2,1.9k,Hospitality | Barnala +58 other locations,Salary,"Job Security, Company Culture, Work Life Balance",5.5k,138,26,125,20
531,Iris Software,3.8,1.9k,IT Services & Consulting | Noida +23 other locations,Work Life Balance,Promotions,8.1k,208,376,250,10
532,ICICI Home Finance,3.7,1.9k,Financial Services | Mumbai +221 other locations,Salary,Work Satisfaction,5.6k,103,13,90,4
533,CSB Bank,3.2,1.9k,Banking | Mumbai +236 other locations,None,"Promotions, Company Culture, Work Satisfaction",7.1k,108,1.5k,48,5
534,Safexpress,3.9,1.9k,Logistics | New Delhi +158 other locations,"Job Security, Company Culture, Work Life Balance","Promotions, Salary",5.8k,129,5,153,32
535,Verizon,3.5,1.9k,Telecom | Hyderabad +12 other locations,Salary,"Promotions, Job Security, Work Satisfaction",12k,136,--,203,5
536,PI Industries,3.8,1.9k,Agro Chemicals | Vadodara +108 other locations,Salary,Promotions,6.9k,141,10,168,9
537,Infinx,3.7,1.9k,Software Product | Hyderabad +35 other locations,Job Security,"Promotions, Salary",5.5k,209,25,74,--
538,Tekwissen,4.9,1.9k,IT Services & Consulting | Visakhapatnam +5 other locations,"Company Culture, Work Life Balance, Work Satisfaction",None,607,341,447,3,12
539,NeoSOFT,3.3,1.9k,IT Services & Consulting | Mumbai +25 other locations,None,"Job Security, Promotions, Company Culture",10.9k,302,46,103,39
540,Godrej Properties,3.6,1.9k,Real Estate | Mumbai +35 other locations,Salary,"Promotions, Work Satisfaction, Company Culture",9.2k,134,--,112,10
541,Torrent Power,3.8,1.9k,Power | Ahmedabad +61 other locations,"Job Security, Work Life Balance","Promotions, Salary",7.8k,168,82,157,5
542,Hindustan Aeronautics,4.3,1.9k,Defence & Aerospace | Bengaluru +64 other locations,"Work Life Balance, Work Satisfaction, Skill Development",None,4.5k,91,1,177,2
543,Polycab Wires,4.0,1.9k,Electrical Equipment | Vadodara +167 other locations,"Salary, Work Life Balance",None,7.4k,136,96,91,7
544,Jindal Saw,4.0,1.9k,Iron & Steel | Mundra +78 other locations,"Job Security, Work Life Balance, Work Satisfaction",None,6.8k,149,48,184,3
545,Tata Tele Business Services,3.5,1.9k,Telecom | Mumbai +136 other locations,None,"Promotions, Work Satisfaction, Company Culture",4.5k,57,57,276,16
546,TVS Sundram Fasteners,3.6,1.9k,Auto Components | Chennai +64 other locations,None,"Promotions, Salary, Company Culture",6.7k,94,16,205,4
547,Medi Assist India,3.5,1.9k,Insurance | Bengaluru +67 other locations,None,"Promotions, Salary, Work Satisfaction",7.4k,141,19,143,1
548,Aragen Life Sciences,3.9,1.9k,Clinical Research | Hyderabad +29 other locations,"Job Security, Company Culture, Work Life Balance",Promotions,6.6k,129,92,300,18
549,AXA Global Business Services,3.7,1.9k,IT Services & Consulting | Pune +12 other locations,"Work Life Balance, Job Security","Promotions, Salary, Work Satisfaction",7.2k,105,6,171,5
550,KENT RO Systems,3.7,1.9k,Consumer Electronics & Appliances | Noida +153 other locations,Work Life Balance,"Promotions, Skill Development",4.3k,105,18,107,19
551,First American (India),3.5,1.8k,Insurance | Bengaluru +22 other locations,None,"Promotions, Salary, Skill Development",9.5k,100,59,173,7
552,Infra.Market,3.9,1.8k,Building Material | Mumbai +134 other locations,"Salary, Company Culture, Work Life Balance",None,3.9k,282,--,37,14
553,Fusion CX,3.2,1.8k,BPO | Kolkata +59 other locations,None,"Promotions, Job Security, Salary",4.6k,146,209,98,14
554,Capri Global Capital,3.6,1.8k,NBFC | New Delhi +340 other locations,None,"Job Security, Promotions, Company Culture",4.2k,74,--,39,20
555,AkzoNobel,4.1,1.8k,Chemicals | Pune +160 other locations,"Company Culture, Work Life Balance, Salary",Promotions,4.4k,144,35,136,48
